participant.id,osf.surprised,osf.upset,osf.angry,osf.jealous,osf.happy,osf.threatened,osf.relieved,osf.sad,ssf.surprised,ssf.upset,ssf.angry,ssf.jealous,ssf.happy,ssf.threatened,ssf.relieved,ssf.sad,rom.surprised,rom.upset,rom.angry,rom.jealous,rom.happy,rom.threatened,rom.relieved,rom.sad,age.participant,relationship.status.participant,gender,sexual.orientation.participant,age.friend,osf.closer.ssf,friendship.duration.wks,contact.frequency,sexual.orientation.friend,comparison.attractive,romantic.attraction.tofriend,sexual.attraction.tofriend,clearly.dating.their.osf
1,2,2,1,3,3,1,3,1,1,1,1,3,3,1,2,1,2,1,1,1,2,1,2,1,21,1,2,4,21,2,100,1,1,3,3,1,2
2,4,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,4,1,1,1,3,1,2,1,20,1,2,2,19,2,364,1,2,3,1,1,2
4,1,1,1,1,4,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,5,1,2,1,20,2,2,2,20,2,130,1,2,3,1,1,2
5,2,1,1,1,4,1,2,1,1,1,1,1,4,1,4,1,3,1,1,1,3,2,2,1,18,1,1,2,18,2,5,1,2,5,5,5,2
6,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,1,18,1,1,2,18,2,2,1,2,5,4,4,2
7,3,1,1,1,2,1,1,2,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,19,1,1,2,18,2,8,1,2,6,3,5,2
8,4,4,4,4,1,5,1,2,1,1,1,2,4,2,1,1,3,4,4,4,2,4,1,2,19,4,1,2,19,2,100,2,2,6,6,6,2
9,1,2,1,3,2,4,1,2,1,1,1,3,3,2,1,1,4,2,2,1,2,2,1,2,20,1,1,2,19,2,80,1,2,7,2,6,2
10,1,1,1,1,4,1,3,1,2,2,2,1,4,1,3,1,2,1,1,1,4,1,3,1,19,1,2,2,19,2,100,1,2,5,1,1,2
11,2,1,1,2,2,1,1,1,2,1,1,2,3,2,3,2,4,3,3,NA,2,2,2,3,19,1,2,3,17,2,52,5,3,1,1,1,2
12,3,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,2,3,2,2,3,2,1,3,19,2,2,2,19,2,52,3,2,3,2,2,2
14,2,2,2,3,3,2,2,2,1,1,1,2,4,2,1,1,4,3,2,3,3,4,2,4,19,1,2,2,20,2,78,1,2,5,3,3,2
15,1,1,1,2,4,1,3,2,1,1,1,1,3,2,1,2,5,2,2,1,2,1,1,2,19,3,2,2,20,2,208,1,2,1,1,1,2
17,1,1,1,1,4,1,5,1,3,1,1,1,4,1,4,1,2,1,1,1,3,1,3,1,18,3,1,3,18,2,5,3,4,4,1,1,2
18,3,1,1,1,5,1,1,1,3,1,1,1,5,1,5,1,3,1,1,1,5,1,3,1,18,3,1,2,18,2,2,7,2,1,1,1,2
19,1,2,1,2,4,3,2,3,1,1,1,2,3,2,1,2,1,3,1,3,4,2,2,3,18,1,2,2,19,2,4,3,2,4,1,1,2
20,1,1,1,1,2,1,1,1,4,1,1,1,4,1,2,1,1,1,1,1,4,1,2,1,19,1,2,2,19,2,25,2,NA,2,1,1,2
21,1,2,1,2,4,1,5,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,1,1,19,3,2,2,19,2,26,3,2,2,1,1,2
22,2,1,1,1,3,1,1,2,4,2,1,2,2,1,1,2,1,1,1,1,4,1,2,1,19,1,2,2,19,2,52,1,2,3,2,1,2
23,3,1,1,1,2,1,2,1,2,1,1,1,4,1,3,1,4,1,1,1,4,2,3,1,20,1,1,2,20,1,52,1,2,2,2,2,2
24,1,1,1,1,5,1,1,1,4,1,1,1,5,1,3,1,3,1,1,1,5,1,3,1,20,1,2,2,20,2,52,1,2,2,1,1,2
25,3,1,1,3,4,2,3,2,4,1,1,2,4,2,3,2,5,1,1,2,4,2,3,2,20,1,2,2,20,1,520,1,3,7,1,1,2
26,4,3,2,4,2,3,2,3,2,1,1,1,3,1,3,1,4,3,3,3,2,3,1,2,18,3,2,2,19,1,104,1,2,5,4,2,2
27,2,2,1,2,2,2,1,2,1,1,1,2,3,1,2,1,2,1,1,1,4,1,4,1,19,3,2,2,20,2,57,2,NA,5,1,1,2
28,1,1,1,2,3,2,1,2,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,19,3,2,2,19,2,37,1,2,5,1,1,2
29,3,2,2,3,3,3,2,2,4,2,2,3,4,2,3,2,4,2,1,4,3,2,2,3,22,1,1,2,21,1,20,1,2,5,4,6,2
30,4,3,2,4,5,3,1,2,4,2,2,4,4,3,1,3,4,4,2,5,3,5,1,5,18,1,1,2,18,1,156,3,2,6,6,4,2
31,3,1,1,2,4,2,NA,2,2,1,1,1,5,2,1,2,2,1,1,1,4,1,1,1,18,1,1,2,18,2,3,2,2,4,2,2,2
32,1,1,1,1,1,1,1,1,1,1,1,NA,5,1,4,1,1,1,1,1,1,1,1,1,18,1,1,2,18,2,52,2,2,5,1,1,2
33,4,3,2,3,2,2,1,1,1,1,1,1,4,1,3,1,4,3,3,3,1,4,1,3,19,3,1,2,18,1,208,1,2,5,7,7,2
34,1,1,1,1,3,1,1,1,1,1,1,1,4,1,3,1,1,1,1,2,4,1,1,1,23,1,1,2,21,2,120,1,2,5,4,6,2
35,1,1,4,1,3,1,1,3,1,1,1,1,5,1,3,1,2,1,1,1,5,1,1,1,19,3,2,2,19,2,52,2,2,6,1,1,2
36,1,1,1,2,1,1,1,1,2,1,1,2,4,2,2,1,5,5,5,1,1,5,1,5,19,1,1,2,19,2,780,1,2,3,1,1,2
37,4,1,1,1,5,1,3,1,2,1,1,1,3,1,2,1,4,1,1,1,5,1,3,1,19,3,2,1,19,2,52,2,2,6,1,1,2
38,1,2,2,1,2,1,1,2,1,1,1,1,4,1,2,1,3,1,1,1,5,1,3,1,19,3,2,2,19,2,56,1,2,6,1,1,2
39,2,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,20,1,1,2,20,2,150,1,2,5,3,4,2
40,2,2,2,4,5,1,2,3,1,1,1,1,4,1,1,3,4,2,1,1,3,5,2,4,20,3,1,2,20,2,150,1,2,4,4,4,2
41,1,1,1,1,4,1,2,1,2,1,1,1,4,1,2,1,2,1,1,1,5,1,2,1,22,3,1,2,21,2,104,2,2,5,1,1,2
42,1,1,1,1,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,20,3,1,2,10,2,1000,1,2,5,1,5,2
43,2,1,1,2,3,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,19,1,1,2,19,2,60,1,2,6,3,5,2
44,3,1,1,3,4,3,2,1,2,1,1,1,4,1,1,1,2,1,1,3,4,3,3,2,20,1,1,3,20,1,60,2,2,5,1,1,2
